recPrec[ 0 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=1, RelIddxRankNum=0, OQD_QNum=1, OQD_DocID=764, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 18 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=9, RelIddxRankNum=1099, OQD_QNum=2, OQD_DocID=1274, Relevant=0, RelCnt=2, Recall=0.13333333333333333, Precision=0.2222222222222222)
recPrec[ 19 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=10, RelIddxRankNum=1100, OQD_QNum=2, OQD_DocID=666, Relevant=1, RelCnt=3, Recall=0.2, Precision=0.3)
recPrec[ 20 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=1, RelIddxRankNum=2170, OQD_QNum=3, OQD_DocID=629, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 21 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=2, RelIddxRankNum=2171, OQD_QNum=3, OQD_DocID=324, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 22 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=3, RelIddxRankNum=2172, OQD_QNum=3, OQD_DocID=323, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 23 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=4, RelIddxRankNum=2173, OQD_QNum=3, OQD_DocID=180, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 24 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=5, RelIddxRankNum=2174, OQD_QNum=3, OQD_DocID=1395, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 25 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=6, RelIddxRankNum=2175, OQD_QNum=3, OQD_DocID=559, Relevant=1, RelCnt=1, Recall=0.06666666666666667, Precision=0.16666666666666666)
recPrec[ 26 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=7, RelIddxRankNum=2176, OQD_QNum=3, OQD_DocID=1393, Relevant=1, RelCnt=2, Recall=0.13333333333333333, Precision=0.2857142857142857)
recPrec[ 27 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=8, RelIddxRankNum=2177, OQD_QNum=3, OQD_DocID=283, Relevant=0, RelCnt=2, Recall=0.13333333333333333, Precision=0.25)
recPrec[ 28 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=9, RelIddxRankNum=2178, OQD_QNum=3, OQD_DocID=655, Relevant=0, RelCnt=2, Recall=0.13333333333333333, Precision=0.2222222222222222)
recPrec[ 29 ] =  Docrow(TopXDocs=10, QNum=3, TxQ=10, RelIddxRankNum=2179, OQD_QNum=3, OQD_DocID=666, Relevant=1, RelCnt=3, Recall=0.2, Precision=0.3)
recPrec[ 30 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=1, RelIddxRankNum=2758, OQD_QNum=4, OQD_DocID=1078, Relevant=1, RelCnt=1, Recall=0.05555555555555555, Precision=1.0)
recPrec[ 31 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=2, RelIddxRankNum=2759, OQD_QNum=4, OQD_DocID=1222, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.5)
recPrec[ 32 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=3, RelIddxRankNum=2760, OQD_QNum=4, OQD_DocID=668, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.3333333333333333)
recPrec[ 33 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=4, RelIddxRankNum=2761, OQD_QNum=4, OQD_DocID=775, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.25)
recPrec[ 34 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=5, RelIddxRankNum=2762, OQD_QNum=4, OQD_DocID=197, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.2)
recPrec[ 35 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=6, RelIddxRankNum=2763, OQD_QNum=4, OQD_DocID=1191, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.16666666666666666)
recPrec[ 36 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=7, RelIddxRankNum=2764, OQD_QNum=4, OQD_DocID=579, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.14285714285714285)
recPrec[ 37 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=8, RelIddxRankNum=2765, OQD_QNum=4, OQD_DocID=267, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.125)
recPrec[ 38 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=9, RelIddxRankNum=2766, OQD_QNum=4, OQD_DocID=1221, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.1111111111111111)
recPrec[ 39 ] =  Docrow(TopXDocs=10, QNum=4, TxQ=10, RelIddxRankNum=2767, OQD_QNum=4, OQD_DocID=53, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.1)
recPrec[ 40 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=1, RelIddxRankNum=3938, OQD_QNum=5, OQD_DocID=738, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 41 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=2, RelIddxRankNum=3939, OQD_QNum=5, OQD_DocID=4, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 42 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=3, RelIddxRankNum=3940, OQD_QNum=5, OQD_DocID=382, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 43 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=4, RelIddxRankNum=3941, OQD_QNum=5, OQD_DocID=472, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 44 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=5, RelIddxRankNum=3942, OQD_QNum=5, OQD_DocID=325, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 45 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=6, RelIddxRankNum=3943, OQD_QNum=5, OQD_DocID=231, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 46 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=7, RelIddxRankNum=3944, OQD_QNum=5, OQD_DocID=461, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 47 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=8, RelIddxRankNum=3945, OQD_QNum=5, OQD_DocID=292, Relevant=1, RelCnt=1, Recall=0.05263157894736842, Precision=0.125)
recPrec[ 48 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=9, RelIddxRankNum=3946, OQD_QNum=5, OQD_DocID=1192, Relevant=0, RelCnt=1, Recall=0.05263157894736842, Precision=0.1111111111111111)
recPrec[ 49 ] =  Docrow(TopXDocs=10, QNum=5, TxQ=10, RelIddxRankNum=3947, OQD_QNum=5, OQD_DocID=242, Relevant=0, RelCnt=1, Recall=0.05263157894736842, Precision=0.1)
recPrec[ 50 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=1, RelIddxRankNum=5153, OQD_QNum=6, OQD_DocID=1366, Relevant=1, RelCnt=1, Recall=0.05555555555555555, Precision=1.0)
recPrec[ 51 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=2, RelIddxRankNum=5154, OQD_QNum=6, OQD_DocID=3, Relevant=0, RelCnt=1, Recall=0.05555555555555555, Precision=0.5)
recPrec[ 52 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=3, RelIddxRankNum=5155, OQD_QNum=6, OQD_DocID=1386, Relevant=1, RelCnt=2, Recall=0.1111111111111111, Precision=0.6666666666666666)
recPrec[ 53 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=4, RelIddxRankNum=5156, OQD_QNum=6, OQD_DocID=1225, Relevant=0, RelCnt=2, Recall=0.1111111111111111, Precision=0.5)
recPrec[ 54 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=5, RelIddxRankNum=5157, OQD_QNum=6, OQD_DocID=62, Relevant=1, RelCnt=3, Recall=0.16666666666666666, Precision=0.6)
recPrec[ 55 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=6, RelIddxRankNum=5158, OQD_QNum=6, OQD_DocID=55, Relevant=0, RelCnt=3, Recall=0.16666666666666666, Precision=0.5)
recPrec[ 56 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=7, RelIddxRankNum=5159, OQD_QNum=6, OQD_DocID=292, Relevant=1, RelCnt=4, Recall=0.2222222222222222, Precision=0.5714285714285714)
recPrec[ 57 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=8, RelIddxRankNum=5160, OQD_QNum=6, OQD_DocID=435, Relevant=0, RelCnt=4, Recall=0.2222222222222222, Precision=0.5)
recPrec[ 58 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=9, RelIddxRankNum=5161, OQD_QNum=6, OQD_DocID=73, Relevant=0, RelCnt=4, Recall=0.2222222222222222, Precision=0.4444444444444444)
recPrec[ 59 ] =  Docrow(TopXDocs=10, QNum=6, TxQ=10, RelIddxRankNum=5162, OQD_QNum=6, OQD_DocID=754, Relevant=0, RelCnt=4, Recall=0.2222222222222222, Precision=0.4)
recPrec[ 60 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=1, RelIddxRankNum=6378, OQD_QNum=7, OQD_DocID=1400, Relevant=1, RelCnt=1, Recall=0.1111111111111111, Precision=1.0)
recPrec[ 61 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=2, RelIddxRankNum=6379, OQD_QNum=7, OQD_DocID=1398, Relevant=1, RelCnt=2, Recall=0.2222222222222222, Precision=1.0)
recPrec[ 62 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=3, RelIddxRankNum=6380, OQD_QNum=7, OQD_DocID=1130, Relevant=0, RelCnt=2, Recall=0.2222222222222222, Precision=0.6666666666666666)
recPrec[ 63 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=4, RelIddxRankNum=6381, OQD_QNum=7, OQD_DocID=1399, Relevant=1, RelCnt=3, Recall=0.3333333333333333, Precision=0.75)
recPrec[ 64 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=5, RelIddxRankNum=6382, OQD_QNum=7, OQD_DocID=419, Relevant=1, RelCnt=4, Recall=0.4444444444444444, Precision=0.8)
recPrec[ 65 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=6, RelIddxRankNum=6383, OQD_QNum=7, OQD_DocID=1358, Relevant=0, RelCnt=4, Recall=0.4444444444444444, Precision=0.6666666666666666)
recPrec[ 66 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=7, RelIddxRankNum=6384, OQD_QNum=7, OQD_DocID=1357, Relevant=0, RelCnt=4, Recall=0.4444444444444444, Precision=0.5714285714285714)
recPrec[ 67 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=8, RelIddxRankNum=6385, OQD_QNum=7, OQD_DocID=1397, Relevant=1, RelCnt=5, Recall=0.5555555555555556, Precision=0.625)
recPrec[ 68 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=9, RelIddxRankNum=6386, OQD_QNum=7, OQD_DocID=888, Relevant=0, RelCnt=5, Recall=0.5555555555555556, Precision=0.5555555555555556)
recPrec[ 69 ] =  Docrow(TopXDocs=10, QNum=7, TxQ=10, RelIddxRankNum=6387, OQD_QNum=7, OQD_DocID=1070, Relevant=0, RelCnt=5, Recall=0.5555555555555556, Precision=0.5)
recPrec[ 70 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=1, RelIddxRankNum=7020, OQD_QNum=8, OQD_DocID=400, Relevant=1, RelCnt=1, Recall=0.25, Precision=1.0)
recPrec[ 71 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=2, RelIddxRankNum=7021, OQD_QNum=8, OQD_DocID=1399, Relevant=0, RelCnt=1, Recall=0.25, Precision=0.5)
recPrec[ 72 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=3, RelIddxRankNum=7022, OQD_QNum=8, OQD_DocID=1398, Relevant=1, RelCnt=2, Recall=0.5, Precision=0.6666666666666666)
recPrec[ 73 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=4, RelIddxRankNum=7023, OQD_QNum=8, OQD_DocID=393, Relevant=0, RelCnt=2, Recall=0.5, Precision=0.5)
recPrec[ 74 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=5, RelIddxRankNum=7024, OQD_QNum=8, OQD_DocID=659, Relevant=0, RelCnt=2, Recall=0.5, Precision=0.4)
recPrec[ 75 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=6, RelIddxRankNum=7025, OQD_QNum=8, OQD_DocID=412, Relevant=0, RelCnt=2, Recall=0.5, Precision=0.3333333333333333)
recPrec[ 76 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=7, RelIddxRankNum=7026, OQD_QNum=8, OQD_DocID=388, Relevant=0, RelCnt=2, Recall=0.5, Precision=0.2857142857142857)
recPrec[ 77 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=8, RelIddxRankNum=7027, OQD_QNum=8, OQD_DocID=1121, Relevant=0, RelCnt=2, Recall=0.5, Precision=0.25)
recPrec[ 78 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=9, RelIddxRankNum=7028, OQD_QNum=8, OQD_DocID=3, Relevant=0, RelCnt=2, Recall=0.5, Precision=0.2222222222222222)
recPrec[ 79 ] =  Docrow(TopXDocs=10, QNum=8, TxQ=10, RelIddxRankNum=7029, OQD_QNum=8, OQD_DocID=418, Relevant=0, RelCnt=2, Recall=0.5, Precision=0.2)
recPrec[ 80 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=1, RelIddxRankNum=7555, OQD_QNum=9, OQD_DocID=1312, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 81 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=2, RelIddxRankNum=7556, OQD_QNum=9, OQD_DocID=1286, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 82 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=3, RelIddxRankNum=7557, OQD_QNum=9, OQD_DocID=236, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 83 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=4, RelIddxRankNum=7558, OQD_QNum=9, OQD_DocID=1298, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 84 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=5, RelIddxRankNum=7559, OQD_QNum=9, OQD_DocID=259, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 85 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=6, RelIddxRankNum=7560, OQD_QNum=9, OQD_DocID=175, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 86 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=7, RelIddxRankNum=7561, OQD_QNum=9, OQD_DocID=317, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 87 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=8, RelIddxRankNum=7562, OQD_QNum=9, OQD_DocID=396, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 88 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=9, RelIddxRankNum=7563, OQD_QNum=9, OQD_DocID=110, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 89 ] =  Docrow(TopXDocs=10, QNum=9, TxQ=10, RelIddxRankNum=7564, OQD_QNum=9, OQD_DocID=1314, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 90 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=1, RelIddxRankNum=8518, OQD_QNum=10, OQD_DocID=1380, Relevant=1, RelCnt=1, Recall=0.041666666666666664, Precision=1.0)
recPrec[ 91 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=2, RelIddxRankNum=8519, OQD_QNum=10, OQD_DocID=1124, Relevant=1, RelCnt=2, Recall=0.08333333333333333, Precision=1.0)
recPrec[ 92 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=3, RelIddxRankNum=8520, OQD_QNum=10, OQD_DocID=1188, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.6666666666666666)
recPrec[ 93 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=4, RelIddxRankNum=8521, OQD_QNum=10, OQD_DocID=368, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.5)
recPrec[ 94 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=5, RelIddxRankNum=8522, OQD_QNum=10, OQD_DocID=638, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.4)
recPrec[ 95 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=6, RelIddxRankNum=8523, OQD_QNum=10, OQD_DocID=748, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.3333333333333333)
recPrec[ 96 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=7, RelIddxRankNum=8524, OQD_QNum=10, OQD_DocID=279, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.2857142857142857)
recPrec[ 97 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=8, RelIddxRankNum=8525, OQD_QNum=10, OQD_DocID=226, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.25)
recPrec[ 98 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=9, RelIddxRankNum=8526, OQD_QNum=10, OQD_DocID=1291, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.2222222222222222)
recPrec[ 99 ] =  Docrow(TopXDocs=10, QNum=10, TxQ=10, RelIddxRankNum=8527, OQD_QNum=10, OQD_DocID=1256, Relevant=0, RelCnt=2, Recall=0.08333333333333333, Precision=0.2)
